Project,Observation Year,Observation Month/Day,Location,Species,Fish Count,Fish Count.1, CASE  WHEN Count Type = 'Counted Live' THEN 'Counted' ELSE Count Type END,Method
George River Escapement,2000,07/06,George River,Chinook,51.0,51.0,Counted,Weir
George River Escapement,2000,07/07,George River,Chinook,231.0,231.0,Counted,Weir
George River Escapement,2000,07/08,George River,Chinook,137.0,137.0,Counted,Weir
George River Escapement,2000,07/09,George River,Chinook,81.0,81.0,Counted,Weir
George River Escapement,2000,07/10,George River,Chinook,15.0,15.0,Counted,Weir
George River Escapement,2000,07/11,George River,Chinook,495.0,495.0,Counted,Weir
George River Escapement,2000,07/12,George River,Chinook,116.0,116.0,Counted,Weir
George River Escapement,2000,07/13,George River,Chinook,10.0,10.0,Counted,Weir
George River Escapement,2000,07/14,George River,Chinook,22.0,22.0,Counted,Weir
George River Escapement,2000,07/15,George River,Chinook,17.0,17.0,Counted,Weir
George River Escapement,2000,07/16,George River,Chinook,146.0,146.0,Counted,Weir
George River Escapement,2000,07/17,George River,Chinook,104.0,104.0,Counted,Weir
George River Escapement,2000,07/18,George River,Chinook,13.0,13.0,Counted,Weir
George River Escapement,2000,07/19,George River,Chinook,219.0,219.0,Counted,Weir
George River Escapement,2000,07/20,George River,Chinook,9.0,9.0,Counted,Weir
George River Escapement,2000,07/21,George River,Chinook,13.0,13.0,Counted,Weir
George River Escapement,2000,07/22,George River,Chinook,41.0,41.0,Counted,Weir
George River Escapement,2000,07/23,George River,Chinook,87.0,87.0,Counted,Weir
George River Escapement,2000,07/24,George River,Chinook,22.0,22.0,Counted,Weir
George River Escapement,2000,07/25,George River,Chinook,25.0,25.0,Counted,Weir
George River Escapement,2000,07/26,George River,Chinook,34.0,34.0,Counted,Weir
George River Escapement,2000,07/27,George River,Chinook,43.0,43.0,Counted,Weir
George River Escapement,2000,07/28,George River,Chinook,10.0,10.0,Counted,Weir
George River Escapement,2000,07/29,George River,Chinook,11.0,11.0,Counted,Weir
George River Escapement,2000,07/30,George River,Chinook,5.0,5.0,Counted,Weir
George River Escapement,2000,07/31,George River,Chinook,26.0,26.0,Counted,Weir
George River Escapement,2000,08/01,George River,Chinook,11.0,11.0,Estimated,Weir
George River Escapement,2000,08/02,George River,Chinook,9.0,9.0,Estimated,Weir
George River Escapement,2000,08/03,George River,Chinook,13.0,13.0,Counted,Weir
George River Escapement,2000,08/04,George River,Chinook,5.0,5.0,Counted,Weir
George River Escapement,2000,08/05,George River,Chinook,6.0,6.0,Estimated,Weir
George River Escapement,2000,08/06,George River,Chinook,3.0,3.0,Counted,Weir
George River Escapement,2000,08/07,George River,Chinook,3.0,3.0,Counted,Weir
George River Escapement,2000,08/08,George River,Chinook,8.0,8.0,Counted,Weir
George River Escapement,2000,08/09,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,2000,08/10,George River,Chinook,1.0,1.0,Counted,Weir
George River Escapement,2000,08/11,George River,Chinook,6.0,6.0,Counted,Weir
George River Escapement,2000,08/12,George River,Chinook,6.0,6.0,Counted,Weir
George River Escapement,2000,08/13,George River,Chinook,2.0,2.0,Counted,Weir
George River Escapement,2000,08/14,George River,Chinook,7.0,7.0,Counted,Weir
George River Escapement,2000,08/15,George River,Chinook,5.0,5.0,Counted,Weir
George River Escapement,2000,08/16,George River,Chinook,2.0,2.0,Counted,Weir
George River Escapement,2000,08/17,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,2000,08/18,George River,Chinook,1.0,1.0,Counted,Weir
George River Escapement,2000,08/19,George River,Chinook,2.0,2.0,Counted,Weir
George River Escapement,2000,08/20,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,2000,08/21,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,2000,08/22,George River,Chinook,1.0,1.0,Counted,Weir
George River Escapement,2000,08/23,George River,Chinook,2.0,2.0,Counted,Weir
George River Escapement,2000,08/24,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,2000,08/25,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,2000,08/26,George River,Chinook,2.0,2.0,Counted,Weir
George River Escapement,2000,08/27,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,2000,08/28,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,2000,08/29,George River,Chinook,1.0,1.0,Counted,Weir
George River Escapement,2000,08/30,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,2000,08/31,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,2000,09/01,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,2000,09/02,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,2000,09/03,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,2000,09/04,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,2000,09/05,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,2000,09/06,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,2000,09/07,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,2000,09/08,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,2000,09/09,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,2000,09/10,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,2000,09/11,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,2000,09/12,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,2000,09/13,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,2000,09/14,George River,Chinook,1.0,1.0,Counted,Weir
George River Escapement,2000,09/15,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,2000,09/16,George River,Chinook,0.0,0.0,Counted,Weir
George River Escapement,2000,09/17,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,2000,09/18,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,2000,09/19,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,2000,09/20,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,2001,06/15,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,2001,06/16,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,2001,06/17,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,2001,06/18,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,2001,06/19,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,2001,06/20,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,2001,06/21,George River,Chinook,0.0,0.0,Estimated,Weir
George River Escapement,2001,06/22,George River,Chinook,2.0,2.0,Estimated,Weir
George River Escapement,2001,06/23,George River,Chinook,7.0,7.0,Estimated,Weir
George River Escapement,2001,06/24,George River,Chinook,12.0,12.0,Estimated,Weir
George River Escapement,2001,06/25,George River,Chinook,24.0,24.0,Estimated,Weir
George River Escapement,2001,06/26,George River,Chinook,15.0,15.0,Counted,Weir
George River Escapement,2001,06/27,George River,Chinook,16.0,16.0,Counted,Weir
George River Escapement,2001,06/28,George River,Chinook,100.0,100.0,Counted,Weir
George River Escapement,2001,06/29,George River,Chinook,305.0,305.0,Counted,Weir
George River Escapement,2001,06/30,George River,Chinook,15.0,15.0,Counted,Weir
George River Escapement,2001,07/01,George River,Chinook,43.0,43.0,Counted,Weir
George River Escapement,2001,07/02,George River,Chinook,163.0,163.0,Counted,Weir
George River Escapement,2001,07/03,George River,Chinook,8.0,8.0,Counted,Weir
George River Escapement,2001,07/04,George River,Chinook,36.0,36.0,Counted,Weir
George River Escapement,2001,07/05,George River,Chinook,32.0,32.0,Counted,Weir
George River Escapement,2001,07/06,George River,Chinook,531.0,531.0,Counted,Weir
George River Escapement,2001,07/07,George River,Chinook,246.0,246.0,Counted,Weir
George River Escapement,2001,07/08,George River,Chinook,36.0,36.0,Counted,Weir
George River Escapement,2001,07/09,George River,Chinook,70.0,70.0,Counted,Weir
George River Escapement,2001,07/10,George River,Chinook,155.0,155.0,Counted,Weir
George River Escapement,2001,07/11,George River,Chinook,64.0,64.0,Counted,Weir
George River Escapement,2001,07/12,George River,Chinook,610.0,610.0,Counted,Weir
George River Escapement,2001,07/13,George River,Chinook,57.0,57.0,Counted,Weir
George River Escapement,2001,07/14,George River,Chinook,113.0,113.0,Counted,Weir
George River Escapement,2001,07/15,George River,Chinook,86.0,86.0,Counted,Weir
George River Escapement,2001,07/16,George River,Chinook,26.0,26.0,Counted,Weir
George River Escapement,2001,07/17,George River,Chinook,45.0,45.0,Counted,Weir
George River Escapement,2001,07/18,George River,Chinook,97.0,97.0,Counted,Weir
George River Escapement,2001,07/19,George River,Chinook,41.0,41.0,Counted,Weir
George River Escapement,2001,07/20,George River,Chinook,88.0,88.0,Counted,Weir
George River Escapement,2001,07/21,George River,Chinook,34.0,34.0,Counted,Weir
George River Escapement,2001,07/22,George River,Chinook,46.0,46.0,Counted,Weir
George River Escapement,2001,07/23,George River,Chinook,17.0,17.0,Counted,Weir
George River Escapement,2001,07/24,George River,Chinook,4.0,4.0,Counted,Weir
George River Escapement,2001,07/25,George River,Chinook,12.0,12.0,Counted,Weir
George River Escapement,2001,07/26,George River,Chinook,14.0,14.0,Counted,Weir
George River Escapement,2001,07/27,George River,Chinook,16.0,16.0,Counted,Weir
George River Escapement,2001,07/28,George River,Chinook,28.0,28.0,Counted,Weir
George River Escapement,2001,07/29,George River,Chinook,17.0,17.0,Counted,Weir
George River Escapement,2001,07/30,George River,Chinook,5.0,5.0,Counted,Weir
George River Escapement,2001,07/31,George River,Chinook,7.0,7.0,Counted,Weir
George River Escapement,2001,08/01,George River,Chinook,6.0,6.0,Counted,Weir
George River Escapement,2001,08/02,George River,Chinook,9.0,9.0,Counted,Weir
George River Escapement,2001,08/03,George River,Chinook,4.0,4.0,Counted,Weir
George River Escapement,2001,08/04,George River,Chinook,3.0,3.0,Counted,Weir
George River Escapement,2001,08/05,George River,Chinook,2.0,2.0,Counted,Weir
George River Escapement,2001,08/06,George River,Chinook,7.0,7.0,Counted,Weir
George River Escapement,2001,08/07,George River,Chinook,6.0,6.0,Counted,Weir
George River Escapement,2001,08/08,George River,Chinook,9.0,9.0,Counted,Weir
